"organizacion","rubro","subrubro","calle","numero","pais","provincia","ciudad","telefono","facebook","web","programa","fecha_distincion","fecha_revalidacion"
"Gringa y Manolos","Gastronomía","Bar","Las Lengas casi esquina Del Lago","S/N","Argentina","Neuquén","Caviahue","(0294) 421-3509","https://www.facebook.com/cervezagringacaviahue/","https://www.instagram.com/cervezagringacaviahue","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Herradura Dustan","Gastronomía","Restaurante","Ruta Nacional 22","Km 1230","Argentina","Neuquén","Plottier","0299 630-9911","https://www.facebook.com/HerraduraHotelSuites/","https://www.instagram.com/herradurahotelsuites/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Aura Restaurante","Gastronomía","Restaurante","Belgrano","174","Argentina","Neuquén","Neuquén","(0299)447-6551"," ","https://www.instagram.com/aura_resto/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Bouquet de Rêves","Gastronomía","Restaurante","Carlos H Rodriguez","276","Argentina","Neuquén","Neuquén","(0299)156340660","https://www.facebook.com/bouquetreves/?locale=fr_FR","https://www.instagram.com/bouquet_d_reves/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Heladerías Pire","Gastronomía","Heladeria","Doctor Luis Federico Leloir","751","Argentina","Neuquén","Neuquén","299 443 0575","https://www.facebook.com/heladeriaspire","https://www.instagram.com/heladeriaspire/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Lo de Naty","Gastronomía","Restaurante","Costanera Quimey-co Norte","660","Argentina","Neuquén","Caviahue","011 15-5830-8843","https://www.facebook.com/LoDeNaty/","https://www.instagram.com/lodenatycaviahue/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Quiñé","Gastronomía","Restaurante","Las Lengas y del Lago","S/N","Argentina","Neuquén","Caviahue","2942 338120","https://www.facebook.com/quiniehosteria","https://www.instagram.com/quiniehosteria/","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Sentí Patagonia","Gastronomía","Restaurante","Rivadavia","567","Argentina","Neuquén","Neuquén","299 555 3615","https://www.facebook.com/sp.vinos","https://www.instagram.com/sentipatagonia","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"La Casa del Flaco","Gastronomía","Restaurante","Chacra 65 - Calle 6","S/N","Argentina","Neuquén","Neuquén","0299 571-7554","https://www.facebook.com/p/La-Casa-del-Flaco-100063795930239/","https://www.instagram.com/lacasadelflaco","Sello CocinAR - Cocina Argentina",2023-09-18,NA
"Peña La Vieja Estación","Gastronomía","Restaurante","Balcarce","875","Argentina","Salta","Salta","(0387) 421-7727","https://www.facebook.com/laviejaestacionsalta","https://www.instagram.com/laviejaestacionensalta","Sello CocinAR - Cocina Argentina",2023-09-21,NA
"Resto Locoto Picantería","Gastronomía","Restaurante","Coronel Suarez","775","Argentina","Salta","Salta","(0387) 587-8725","https://www.facebook.com/locotorestopicanteria/","https://www.instagram.com/locotorestopicanteria/","Sello CocinAR - Cocina Argentina",2023-09-21,NA
"Rincón del Olivo","Gastronomía","Restaurante","Caseros","342","Argentina","Salta","Salta","(0387) 218-1111",NA,"https://www.instagram.com/rincondelolivo.salta","Sello CocinAR - Cocina Argentina",2023-09-21,NA
"Peña Guitarreada - La Cautiva","Gastronomía","Restaurante","Balcarce","892","Argentina","Salta","Salta","(0387) 414-0494","https://www.facebook.com/profile.php?id=100063464833761&locale=ja_JP","https://www.instagram.com/la_cautiva.oficial","Sello CocinAR - Cocina Argentina",2023-09-21,NA
"El Popular de Pichincha","Gastronomía","Restaurante","Salta","2999","Argentina","Santa Fe","Rosario","(0341) 432-9581","https://www.facebook.com/p/El-Popular-Pichincha-100063455893483","https://www.instagram.com/elpopularpichincha","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Heladeria Río - La Favorita","Gastronomía","Heladeria","Pasaje Mozart","1153","Argentina","Santa Fe","Rosario",NA,"https://www.facebook.com/Heladosrio","https://www.instagram.com/riohelados/","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"El Cairo","Gastronomía","Restaurante","Sarmiento Esquina Santa Fe","S/N","Argentina","Santa Fe","Rosario","(0341)449-0714","https://www.facebook.com/elcairorosario/","https://www.instagram.com/barelcairo","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Florida Comedor","Gastronomía","Restaurante","Boulevard Rondeau","2195","Argentina","Santa Fe","Rosario","(0341) 780-7877",NA,"https://www.instagram.com/floridacomedor/","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"El Rosarino","Gastronomía","Bar","San Nicolás","206","Argentina","Santa Fe","Rosario","(0341) 439-2594",NA,"https://www.instagram.com/elrosarinobar/","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Refineria","Gastronomía","Restaurante","Rawson","443","Argentina","Santa Fe","Rosario","(0341) 439-8742",NA,"https://www.instagram.com/refineriarestaurant","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Bajo Cero - Córdoba","Gastronomía","Heladeria","Córdoba","1706","Argentina","Santa Fe","Rosario","(0341) 276-2745","https://www.facebook.com/bajoceroargentina","https://www.instagram.com/bajocero_helados","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Bajo Cero - Santa Fe","Gastronomía","Heladeria","Presidente Roca","694","Argentina","Santa Fe","Rosario","(0341) 2762-2878","https://www.facebook.com/bajoceroargentina","https://www.instagram.com/bajocero_helados","Sello CocinAR - Cocina Argentina",2023-09-25,NA
"Municipalidad de 25 de Mayo","Organismo Público","Municipalidad","Calle 27","790","Argentina","Buenos Aires","25 de Mayo","02345-46 – 2322/2550","https://www.facebook.com/municipalidad25demayo/","https://25demayo.gob.ar/","Bases para la Gestión Integral de Municipios Turísticos Sostenibles",2023-09-28,NA
"Sushi Bar (Alvear Icon)","Gastronomía","Confitería","Aime Paine","1130","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4114-0900","https://www.facebook.com/AlvearIconHotel/","https://alvearicon.com/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Crystal Bar (Alvear Icon)","Gastronomía","Restaurante","Aime Paine","1130","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4114-0900","https://www.facebook.com/AlvearIconHotel/","https://alvearicon.com/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Pulpería Quilapán","Gastronomía","Restaurante","Defensa","1344","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4307-6288","https://www.facebook.com/pulperiaquilapan/","https://www.instagram.com/pulperiaquilapan","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Raíces Cocina Casera","Gastronomía","Restaurante","Crisólogo Larralde","3995","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4541-4923","https://www.facebook.com/RaicesCCCH","https://www.instagram.com/raicescocinacasera","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Nica Distrito","Gastronomía","Pub","Bolivar","347","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5844-1334",NA,"https://www.instagram.com/nica.cocina/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Lobby Bar (Alvear Icon)","Gastronomía","Pub","Aime Paine","1130","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4114-0900","https://www.facebook.com/AlvearIconHotel/","https://alvearicon.com/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Restaurante Park Tower","Gastronomía","Restaurante","San Martín","1225","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4318-9300","https://www.facebook.com/ParkTowerBuenosAires","https://www.instagram.com/parktowerbuenosaires/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Nica Museo","Gastronomía","Restaurante","Alsina","401","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5844-1334",NA,"https://www.instagram.com/nica.cocina/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Bar El Colonial","Gastronomía","Bar","Avenida Belgrano","599","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4331-9030","https://www.facebook.com/profile.php?id=100063441296866","https://www.instagram.com/barelcolonial","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Restaurante Sheraton Buenos Aires","Gastronomía","Restaurante","San Martín","1225","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 3016-8460 "," ","https://www.instagram.com/buono.italiankitchen/?hl=en","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Bar Seddon","Gastronomía","Bar","Defensa","695","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 3494-6116"," ","https://www.instagram.com/seddonbaroficial/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Nica Mercado","Gastronomía","Restaurante","Bolivar","933","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5844-1334",NA,NA,"Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Tierra Restaurante","Gastronomía","Restaurante","Cerrito","180","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 3985-7810","https://www.facebook.com/HotelGrandBrizo.BA","https://www.instagram.com/hotelgrandbrizo.ba","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Sunny Yard (Alvear Icon)","Gastronomía","Casa de Té","Aime Paine","1130","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 41140900","https://www.facebook.com/AlvearIconHotel/","https://alvearicon.com/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Glitter (Alvear Icon)","Gastronomía","Bar","Aime Paine","1130","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 41140900","https://www.facebook.com/AlvearIconHotel/","https://alvearicon.com/","Sello CocinAR - Cocina Argentina",2023-09-29,NA
"Tomy's Gourmet","Gastronomía","Restaurante","Ruta 89","Km 307","Argentina","Chaco","Gancedo","(03731) 53-7303",NA,"https://www.instagram.com/tomys_gourmet","Sello CocinAR - Cocina Argentina",2023-10-03,NA
"La Negrita","Gastronomía","Restaurante","Ruta Nacional 95","Km 1088","Argentina","Chaco","Villa Berhet","(0364) 450-6076","https://www.facebook.com/p/La-Negrita-100063761314758/","https://www.instagram.com/negrita23sp/","Sello CocinAR - Cocina Argentina",2023-10-03,NA
"Restaurante Jardín Secreto","Gastronomía","Restaurante","25 de Mayo","189","Argentina","Chaco","Villa Ángela","(03735) 41-3848","https://www.facebook.com/Jardinva/?locale=es_LA","https://www.instagram.com/jardinva/","Sello CocinAR - Cocina Argentina",2023-10-03,NA
"Anna Restaurante de Campo","Gastronomía","Restaurante","Lote 338 Colonia El 44","S/N","Argentina","Chaco","Juan José Castelli","(0364) 446-3514",NA,"https://www.instagram.com/alinaruizcocina","Sello CocinAR - Cocina Argentina",2023-10-03,NA
"Unser Traum","Gastronomía","Casa de Té","Teniente General Roca","868","Argentina","Neuquén","San Martín de Los Andes","(0297) 2422319","https://www.facebook.com/UnserTraumPasteleria/",NA,"Sello Nómades Digitales",2023-10-03,NA
"Posada del Ciprés","Alojamiento","Posada","Oyeihue","25","Argentina","Neuquén","Villa La Angostura","(0294) 4368734","https://www.facebook.com/posadadelcipres","https://www.posadadelcipres.com.ar/","Sello Nómades Digitales",2023-10-03,NA
"Bahía Manzano","Alojamiento","Hostería","Aljaba","205","Argentina","Neuquén","Villa La Angostura","(0294) 447-5307",NA,"https://www.bahiamanzano.com/","Sello Nómades Digitales",2023-10-03,NA
"Apart Hotel Del Sauco","Alojamiento","Apart Hotel","Calderón","364","Argentina","Neuquén","San Martín de Los Andes","(02972) 41-1900","https://www.facebook.com/DelSauco","https://delsauco.com.ar/","Sello Nómades Digitales",2023-10-03,NA
"Apart Amonite","Alojamiento","Apart Hotel","Brown","385","Argentina","Neuquén","San Martín de Los Andes","(02972) 427453","https://www.facebook.com/ApartAmonite","https://www.apartamonite.com.ar/es/","Sello Nómades Digitales",2023-10-03,NA
"Ramos Generales","Gastronomía","Restaurante","Avenida Maipú","749","Argentina","Tierra del Fuego","Ushuaia","(02901) 42-4317","https://www.facebook.com/Almacenramosgeneralesushuaia/","https://ramosgeneralesush.com.ar/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Bar Estudio","Gastronomía","Bar","Avenida de los Shelknam","411","Argentina","Tierra del Fuego","Tolhuin","(02901)49-2382","https://www.facebook.com/barestudiotolhuin/","https://www.instagram.com/bar_estudio/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Fratello","Gastronomía","Restaurante","Federico Echelaine","251","Argentina","Tierra del Fuego","Río Grande","(02964) 43-6500","https://www.facebook.com/grandehoteltdf","https://www.instagram.com/grandehoteltdf/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Cervantes Bistro Fueguino","Gastronomía","Restaurante","Gobernador Campos","210","Argentina","Tierra del Fuego","Ushuaia","(02901) 156-44424","https://www.facebook.com/cervantes.ushuaia/","https://cervantesushuaia.com.ar/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"La Posada de los Ramírez","Alojamiento","Posada","Avenida de los Shelknam","411","Argentina","Tierra del Fuego","Tolhuin","(02901) 49-2382","https://www.facebook.com/losramireztolhuin/","https://www.laposadadelosramirez.com/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Casimiro Biguá Parrilla","Gastronomía","Restaurante","Avenida Maipú","395","Argentina","Tierra del Fuego","Ushuaia","(02901) 431-214",NA,"https://casimirobigua.com/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Tante Sara - suc. San Martín","Gastronomía","Casa de Té","San Martín","701","Argentina","Tierra del Fuego","Ushuaia","(02901) 42-3912","https://www.facebook.com/tantesarariogrande/","https://www.instagram.com/tantesaracosasricas","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Tía Elvira","Gastronomía","Restaurante","Avenida Maipú","349","Argentina","Tierra del Fuego","Ushuaia","(02901)424-725","https://www.facebook.com/tiaelvirarestaurante/","https://www.instagram.com/tiaelviraushuaia_/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Narcizo","Gastronomía","Restaurante","Tomás Espora","624","Argentina","Tierra del Fuego","Río Grande","(02964) 43-0137","https://www.facebook.com/NarcizoBar1/","https://www.instagram.com/narcizocoffeebar/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Chocolatería Mamá Flora","Comercio turístico","Chocolateria","Avenida Belgrano","1101","Argentina","Tierra del Fuego","Río Grande","(02964) 42-4087","https://www.facebook.com/chocolateria.mamaflora/","https://www.instagram.com/chocolateria.mama.flora/","Sello CocinAR - Cocina Argentina",2023-10-09,NA
"Viva el viento","Gastronomía","Restaurante","Av. 11 de Julio","477","Argentina","Santa Cruz","Los Antiguos","(0297) 501-4928","https://www.facebook.com/vivalosantiguos/",NA,"Sello Igualdad",2023-10-09,NA
"Parque Nacional Patagonia","Área Natural Protegida","Parque Nacional","Ruta","43","Argentina","Santa Cruz","Los Antiguos",NA,NA,"https://www.argentina.gob.ar/interior/ambiente/parquesnacionales/regionpatagonia","Sello Igualdad",2023-10-09,NA
"Dirección de Turismo de Lago Posadas","Organismo Público","Oficina de Turismo","Av. San Martín","50","Argentina","Santa Cruz","Lago Posadas","(0362) 422-5966",NA,NA,"Sello Igualdad",2023-10-09,NA
"Delegación Norte - Secretaría de Estado de Turismo de Santa Cruz","Organismo Público","Oficina de Turismo","Av. Tehuelches","157","Argentina","Santa Cruz","Los Antiguos",NA,NA,"https://www.santacruzpatagonia.gob.ar/","Sello Igualdad",2023-10-09,NA
"Chacra Bardas Blancas","Gastronomía","Restaurante","Ruta provincia Nº39","S/N","Argentina","Santa Cruz","Lago Posadas","(02966) 154-75815","https://www.facebook.com/people/Chacra-Bardas-Blancas/100063657726547/","https://www.instagram.com/chacra.bardas.blancas","Sello Igualdad",2023-10-09,NA
"Complejo de Museos","Actividad Cultural","Museo","San Martín","1776","Argentina","Santa Cruz","Perito Moreno",NA,NA,NA,"Sello Igualdad",2023-10-09,NA
"Subsecretaria de Turismo de la Municipalidad de Los Antiguos","Organismo Público","Subsecretaría","Lago Buenos Aires","59","Argentina","Santa Cruz","Los Antiguos","(0297) 156-212055",NA,NA,"Sello Igualdad",2023-10-09,NA
"Hostel Punto Patagónico","Alojamiento","Hostel","Periodistas Neuquinos","94","Argentina","Neuquén","Neuquén","(0299) 627-6464","https://www.facebook.com/hostelpuntopatagonico","https://www.puntopatagonico.com.ar/","Sello Nómades Digitales",2023-10-10,NA
"Sentí Patagonia","Gastronomía","Restaurante","Fontana","1563","Argentina","Neuquén","Neuquén","(0299) 555-3615","https://www.facebook.com/sp.vinos/","https://www.instagram.com/sentipatagonia/","Sello Nómades Digitales",2023-10-10,NA
"Museo de Ciencias Naturales Lorenzo Scaglia","Actividad Cultural","Museo","Libertad","3099","Argentina","Buenos Aires","Mar del Plata","(0223) 473-8791","https://www.facebook.com/museolorenzoscagliamgp","https://www.mardelplata.gob.ar/MuseoScaglia","Directrices de Accesibilidad",2023-10-11,NA
"Havanna - Mar del Plata - sucursal La Perla","Gastronomía","Confitería","Patricio Peralta Ramos","387","Argentina","Buenos Aires","Mar del Plata","(0223) 154-477025","https://www.facebook.com/havannaargentina","https://www.havanna.com.ar/","Directrices de Accesibilidad",2023-10-11,NA
"Hotel SEC La Plata","Alojamiento","Hotel sin categorizar","Santiago del Estero","1228","Argentina","Buenos Aires","Mar del Plata","(0223) 503-7318","https://www.facebook.com/sechotelmardelplata","https://sechotel.com.ar/","Directrices de Accesibilidad",2023-10-11,NA
"Hotel Treinta Seis","Alojamiento","Hotel 4 estrellas","9 de Julio","3027","Argentina","Buenos Aires","Mar del Plata","(0223) 628-5625","https://www.facebook.com/hoteltreintaseis","https://www.hoteltreintaseis.com.ar/","Directrices de Accesibilidad",2023-10-11,NA
"Fresa","Actividades productivas generales","Visitas guiadas","RN 14","Km 759","Argentina","Corrientes","Colonia Liebigs","(011) 4872-1100",NA,"https://www.fresa.com.ar/","Sello CocinAR - Cocina Argentina",2023-10-17,NA
"Establecimiento Las Marías","Actividades productivas generales","Visitas guiadas","RN 14","Km 739","Argentina","Corrientes","Gdor Ing V Virasoro","(03756) 493-000","https://www.facebook.com/EstablecimientoLasMarias","https://www.lasmarias.com.ar/","Sello CocinAR - Cocina Argentina",2023-10-17,NA
"La Angélica","Gastronomía","Restaurante","RN A015","10,5km","Argentina","Entre Ríos","Concordia","(03456) 26-7596","https://www.facebook.com/EstablecimientoLaAngelica","https://establecimientolangelica.com.ar/home","Directrices de Accesibilidad",2023-10-23,NA
"Estacion Once Resto Bar","Gastronomía","Restaurante","Ruta Provincial N° 11 Km 114","S/N","Argentina","Entre Ríos","Victoria","(03436)42-6073",NA,"https://www.instagram.com/estaciononce.restobar/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"El Jockey Victoria","Gastronomía","Restaurante","Alem","91","Argentina","Entre Ríos","Victoria","(03436) 42-6600","https://www.facebook.com/eljockeyrestaurant","https://www.instagram.com/eljockeyrestaurant/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Nuestros Sabores Parrilla","Comercio turístico","Mercado","Boulevard Lavalle","228","Argentina","Entre Ríos","Victoria","(03436) 47-6128",NA,"https://www.instagram.com/nuestrossabores_parrilla/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Restaurant La Delfina","Gastronomía","Restaurante","Paseo de la Costa","45","Argentina","Entre Ríos","Victoria","(03436) 42-4040","https://www.facebook.com/hotelsolvictoria","https://www.instagram.com/solvictoriahotel/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Fontanarrosa Asador Campero","Gastronomía","Restaurante","Avenida Belgrano","10","Argentina","Entre Ríos","Victoria","(03436) 42-4200","https://www.facebook.com/FontanarrosaOficial","https://www.instagram.com/fontanarrosA_resto/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Nuestros Sabores","Gastronomía","Restaurante","Ruta Provincial 11 y Boulevard Eva Perón","S/N","Argentina","Entre Ríos","Victoria","(03436) 155-14957",NA,"https://www.instagram.com/nuestros_sabores_/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Justo José","Gastronomía","Restaurante","Avenida Centenario","138","Argentina","Entre Ríos","Victoria","(0341) 209-3784",NA,"https://www.instagram.com/justojosebar/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Mont Martre","Gastronomía","Restaurante","Bartolomé Mitre","463","Argentina","Entre Ríos","Victoria","(03436) 47-4229","https://www.facebook.com/MontMartreVic","https://www.instagram.com/montmartre_vic/","Sello CocinAR - Cocina Argentina",2023-10-24,NA
"Cardenales","Gastronomía","Restaurante","Ruta 130","KM 20","Argentina","Entre Ríos","Villa Elisa","(03447) 56-2948",NA,"https://www.instagram.com/cardenalespizzeriac","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"El Paso","Gastronomía","Restaurante","Avenida Urquiza","3145","Argentina","Entre Ríos","Villa Elisa","(03447) 64-1623","https://www.facebook.com/ElPasoParrillaRestaurante","https://www.instagram.com/elpasorestaurante1/","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Anís","Gastronomía","Casa de Té","Avenida Libertad","1301","Argentina","Entre Ríos","Villa Elisa","(03447) 40-2439","https://www.facebook.com/Aniscafeteria","https://www.instagram.com/anispasteleriaypastas","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Garage","Gastronomía","Restaurante","Avenida Mitre","1485","Argentina","Entre Ríos","Villa Elisa","(03447) 48-0110","https://www.facebook.com/Garage-Restaurant-Y-Pizzeria-100063498555977","https://www.instagram.com/garagerestaurante/","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Volá - Cocina Bar","Gastronomía","Restaurante","Avenida Urquiza","2495","Argentina","Entre Ríos","Villa Elisa","(03447) 56-4078",NA,"https://www.instagram.com/volacocinabar/","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Los Teros Restaurante","Empresas de servicios y espectáculos","Empresas de servicios y espectáculos","Ruta 130","KM 20","Argentina","Entre Ríos","Villa Elisa","(03447) 555-875",NA,"https://www.instagram.com/losterosrestaurante/?hl=es","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Teodoro","Gastronomía","Restaurante","Avenida Mitre","1298","Argentina","Entre Ríos","Villa Elisa","(03447) 41-6603","https://www.facebook.com/teodorobarcafe","https://www.instagram.com/teodororestobeer/","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"Garibaldi","Gastronomía","Restaurante","Avenida Mitre","1502","Argentina","Entre Ríos","Villa Elisa","(03447) 48-1305","https://www.facebook.com/garibaldi87","https://www.instagram.com/garibaldicocinabar","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"El Paisanito","Gastronomía","Restaurante","Boulevard Schoeder","1430","Argentina","Entre Ríos","Villa Elisa","(03447) 55-9010",NA,"https://www.instagram.com/elpaisanito.ve/","Sello CocinAR - Cocina Argentina",2023-10-25,NA
"La Casona II","Alojamiento","Casa Rural","Lote 88 - Colonia Juan José Paso","S/N","Argentina","Chaco","Villa Ángela","(03735) 453-773","https://www.facebook.com/Lacasonall/",NA,"Directrices de Competitividad para Organizaciones Turísticas",2023-10-26,NA
"Rancho La Salmantina","Actividad recreativa y deportiva","Cabalgatas","Ruta Nacional 95 - Acceso Norte","S/N","Argentina","Chaco","Villa Ángela","(03735) 47-6297","https://www.facebook.com/p/Rancho-LA-SALMANTINA-100057200720220/",NA,"Directrices de Competitividad para Organizaciones Turísticas",2023-10-26,NA
"Hotel Portal del Impenetrable","Alojamiento","Hotel 3 estrellas","Acceso Juan José Castelli","Pc 2 - Mz 8 - Ch 37","Argentina","Chaco","Juan José Castelli","(0364) 470-8848","https://www.facebook.com/hotelportal.delimpenetrable",NA,"Directrices de Competitividad para Organizaciones Turísticas",2023-10-26,NA
"Platinum Hotel Casino","Alojamiento","Hotel 4 estrellas","Juan Bautista Justo esquina Saénz Peña","S/N","Argentina","Chaco","Villa Ángela","(03735) 46-9082","https://www.facebook.com/platinumhotelcasinoVA","https://villaangela.platinumhotelcasino.com.ar/","Directrices de Competitividad para Organizaciones Turísticas",2023-10-26,NA
"Puerta de los Caballos","Actividad recreativa y deportiva","Cabalgatas","Paraguay y Neuquén","S/N","Argentina","Chaco","Villa Ángela","(03735) 62-1172",NA,"https://puertadeloscaballos.negocio.site/","Directrices de Competitividad para Organizaciones Turísticas",2023-10-26,NA
"Municipalidad de Federación","Organismo Público","Municipalidad","Av. San Martín y Las Hortensias","S/N","Argentina","Entre Ríos","Federación","(03456) 48-1586","https://www.facebook.com/munifederacion/","https://www.federacion.gob.ar/turismo","Bases para la Gestión Integral de Municipios Turísticos Sostenibles",2023-10-27,NA
"Municipalidad de Pueblo General Belgrano","Organismo Público","Municipalidad","Ipperri","152","Argentina","Entre Ríos","Pueblo General Belgrano","(03446) 49-9431","https://www.facebook.com/pgbturismo/","https://www.turismopueblobelgrano.gob.ar/","Bases para la Gestión Integral de Municipios Turísticos Sostenibles",2023-10-27,NA
"Montefino","Enoturismo","Producción y Degustación","Balcarce y Benavidez","S/N","Argentina","San Juan","Santa Lucía","(011) 153-639-6328",NA,"https://montefino.mitiendanube.com/","Sello Turismo Industrial y Productivo",2023-10-27,NA
"La Balsa Bar Gastronómico","Gastronomía","Restaurante","Avenida Villarino","55","Argentina","Río Negro","Viedma","(02920) 30-0714","https://www.facebook.com/labalsabargastronomico/","https://la-balsa-bar-gastronomico.negocio.site/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Restaurante La Familia","Gastronomía","Restaurante","Calle 20 bis","27","Argentina","Río Negro","Viedma","(02920) 52-0754",NA,"https://www.instagram.com/lafamiliarestoconfi/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Pastelería Umami","Gastronomía","Casa de Té","Buenos Aires","155","Argentina","Río Negro","Viedma","(02920) 432281","https://www.facebook.com/pasteleria.umami.1/","https://www.instagram.com/pasteleriaumami/?hl=es","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Alto Viento","Gastronomía","Restaurante","Calle 2 Jacinto Massini","653","Argentina","Río Negro","Viedma","(02920) 152-87833",NA,"https://www.instagram.com/altovientohotelyresto/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Fibra La Semillería","Gastronomía","Restaurante","Saavedra","499","Argentina","Río Negro","Viedma","(02920) 245258","https://www.facebook.com/fibrapatagonica/","https://www.instagram.com/fibralasemilleria/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Roma Imperio Cervecero","Gastronomía","Pub","Avenida Villarino","36","Argentina","Río Negro","Viedma","(02920) 250082","https://www.facebook.com/romacerveceria/","https://www.instagram.com/romacerveceria/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Milán Wine Bar","Gastronomía","Bar","Saavedra","855","Argentina","Río Negro","Viedma","(02920) 660366",NA,"https://www.instagram.com/milanwinebar/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Roma Costero","Gastronomía","Restaurante","Avenida Villarino","851","Argentina","Río Negro","Viedma","(02920) 250082","https://www.facebook.com/ROMACOSTERO/","https://www.instagram.com/romacostero/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Achavil del Río","Gastronomía","Restaurante","Avenida Villarino","207","Argentina","Río Negro","Viedma","(02920) 42-9371","https://www.facebook.com/Achavildelrio/","https://www.achavil.com.ar/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
"Libeerarte","Gastronomía","Restaurante","Francisco de Viedma","551","Argentina","Río Negro","Viedma","(02920) 278674","https://www.facebook.com/Libeerarte/","https://www.instagram.com/libeerarte/","Sello CocinAR - Cocina Argentina",2023-10-30,NA
